^:<name=transclusion>	def
axial_age	^wiki<@軸心世紀> ^baidu<@轴心时代/61314561>公元前五百年前後一兩百年間，北緯30度右右，哲人輩出。中國先秦有孔子、老子等諸子百家，^t#ancient_greece(古希臘)有^t#socrates(蘇格拉底)，而古印度則有反^t#brahmin(婆羅門)的^t#sramana(沙門思潮)代表人物^t#buddha(佛陀)。
arahat	^wiki<@阿羅漢> 根除煩惱，死後不再輪迴之人。
ancient_greece	^wiki<@古希臘>^baidu<@古希腊>狹義上指希臘地區從公元前12世紀邁錫尼文明毀滅至公元前146年希臘地區被羅馬共和國征服為止。廣義上指愛琴諸文明在羅馬人征服前的全部歷史。
socrates	^wiki<@蘇格拉底>^baidu<@苏格拉底>^t#ancient_greece(古希臘)哲學家，和其追隨者柏拉圖及柏拉圖的學生亞里斯多德被並稱為希臘三賢。以不敬神的罪名，被雅典公民判處死刑。
sramana	^wiki<@佛陀>^baidu<@佛陀>^wiki<@沙門思潮>^baidu<@沙门思潮>
buddha	佛教的創始人，出生於^t#axial_age(軸心時代)的古印度，^t#kshatriya(剎帝利)種姓。
brahmin	起緣於^t#veda(吠陀)，古印度^t#caste(種姓制度)主掌祭祀。三綱：吠陀天啟、祭祀萬能、婆羅門至上。
kshatriya	^wiki<@剎帝利>^baidu<@剎帝利>軍事貴族。掌握除了意識型態以外的所有統治權力。
veda	原意為「啟示」，婆羅門教根本經典包括：收集歌詠的梨俱、讚頌的娑摩、祭祀的夜柔、禳災的阿闥婆。
bhikkhuni	^wiki<@比丘尼>^baidu<@比丘尼>比丘尼守311條戒。二部僧受。蓮華色。
caste	通過內婚制將社會階層固化的社會制度。最典型的例子是印度的瓦爾納種姓制度，分為^t#brahmin(婆羅門)、^t#kshatriya(剎帝利)、吠舍、首陀羅，以及在不可接觸的賤民。
mahapajapati_gotami	訶波闍波提瞿曇彌，意譯為大愛道，佛陀的姨母，丈夫^t#suddhodana(淨飯王)過世之後，成為僧團第一位^t#bhikkuni(比丘尼)。
suddhodana	suddha+odana 純淨的米飯，^t#buddha(悉達多)太子之父。
kapilavastu	^t#shakya(釋迦)族之首都。
shakya	^wiki<@釋迦族>^baidu<@释迦族>佛陀的部族名。
gotama	佛陀的族姓，源自^t#shakya(釋迦)族祖仙名。又譯為瞿曇，意思是最好的牛。
